"id","name"
1,Atlantic Salmon
2,Steelhead Trout
3,Alaskan Cod
4,Tilapia
5,Imitation Crab
6,Chicken Breast
7,Rotisserie Chicken
8,Egg White
9,Egg Yolk
10,Egg
11,Beef Steak
12,Bacon
13,Feta Cheese
14,Parmesan Cheese
15,Greek Yogurt (Oikos Triple 0 Vanilla)
16,Brown Rice (raw)
17,White Rice (raw)
18,Mission Flour Tortilla (Regular)
19,Mission Flour Tortilla (Small)
20,Breadcrumb
21,Oatmeal Steel Cut (raw)
22,Corn
23,Quinoa (raw)
24,Chia/Flax/Hemp Seed Blend
25,Hemp Heart
26,Arrowroot Flour
27,Pistachio
28,Walnut
29,Cashew
30,Sourdough Bread
31,Whole Grain Bread
32,Ezekiel Bread
33,Brioche Bread Thick Cut
34,Black Bean
35,Garbanzo Bean
36,Broccoli
37,Baby Spinach
38,Spinach
39,Arugula
40,Kale
41,Iceberg Lettuce
42,Red Cabbage
43,Cabbage
44,Cucumber
45,Tomato
46,Grape Tomato
47,Avocado
48,Sweet Potato
49,Butternut Squash
50,Russet Potato
51,Red Potato
52,Gold Potato
53,Red Onion
54,White Onion
55,Yellow Onion
56,Green Onion
57,Shallot
58,Baby Carrot
59,Carrot
60,Green Bell Pepper
61,Orange Bell Pepper
62,Red Bell Pepper
63,Yellow Bell Pepper
64,White Button Mushroom
65,Sweet Pea
66,Cauliflower
67,Garlic
68,Beet
69,Blueberry
70,Banana
71,Raspberry
72,Strawberry
73,Mango
74,Lemon Juice
75,Kiwi
76,Watermelon
77,Olive Oil Extra Virgin
78,Sesame Oil
79,Avocado Oil
80,Coconut Oil
81,Butter
82,Bacon Grease
83,Soy Sauce
84,Dijon Mustard
85,Hemp Protein
86,Nutritional Yeast
87,PB2 Powdered Peanut Butter
88,Peanut Butter
89,Oat Milk
90,Coconut Milk (Silk Original)
91,Coconut Milk (Silk Unsweet)
92,Granulated Sugar
93,Honey
94,Yogurt Covered Pretzel
95,Molasses
96,Brown Sugar
97,Tomato Paste
98,Clif Bar Peanut Butter
99,Gold Protein Powder (Vanilla)
100,AG1
